station_id,station_name,route_id,avg_crowd,avg_ridership,avg_train_frequency
MTA_1,Astoria-Ditmars Blvd,"N,W",3.3530556636823667,38.03075126508369,13.821720513818606
MTA_10,49 St,"N,R,W",3.5348587772613516,83.58133714694316,13.779048981051126
MTA_100,Hewes St,"M,J",2.2577737719693554,10.169445696259576,13.89634970707526
MTA_101,Marcy Av,"M,J,Z",3.21513470681458,35.02931854199683,13.771790808240887
MTA_103,Bowery,"J,Z",2.6852861035422344,19.780199818346958,13.809264305177111
MTA_107,Broad St,"J,Z",2.4941463414634146,16.322926829268294,13.892682926829268
MTA_108,Middle Village-Metropolitan Av,M,2.3506944444444446,8.290674603174603,13.976190476190476
MTA_109,Fresh Pond Rd,M,2.673003802281369,13.74809885931559,13.901140684410647
MTA_110,Forest Av,M,2.4558359621451102,11.564668769716087,14.010515247108307
MTA_111,Seneca Av,M,2.2147984538928767,8.70458310325787,13.992269464384318
MTA_113,Knickerbocker Av,M,2.408195020746888,11.393672199170124,14.016597510373444
MTA_114,Central Av,M,2.323607427055703,11.13527851458886,13.943766578249337
MTA_118,3 Av,L,2.754874651810585,28.505769996020693,13.766812574612018
MTA_119,1 Av,L,3.5732728541521284,82.50279134682485,13.778087927424982
MTA_120,Bedford Av,L,3.6833681280445374,146.30167014613778,13.775922059846904
MTA_122,Graham Av,L,2.9426979705531235,31.42658177477119,13.820931157978512
MTA_123,Grand St,L,2.814984709480122,19.57645259938838,13.749235474006117
MTA_124,Montrose Av,L,2.9248918600078646,27.645300825796305,13.780574125049155
MTA_125,Morgan Av,L,2.9134654266073596,30.994338859684593,13.788920339668419
MTA_126,Jefferson St,L,3.1380497131931167,37.132313575525814,13.734608030592733
MTA_127,DeKalb Av,L,3.2705387848681697,40.239587313718,13.815819640810087
MTA_129,Halsey St,L,2.9352687328364064,23.600627697136133,13.81090623774029
MTA_13,28 St,"R,W",3.2209165687426555,43.68037602820211,13.779866823345085
MTA_130,Wilson Av,L,2.5683610867659947,14.828659070990359,13.889570552147239
MTA_131,Bushwick Av-Aberdeen St,L,2.310995752713544,9.72203869749882,13.91788579518641
MTA_133,Atlantic Av,L,1.8918387413962636,5.017699115044247,13.935103244837759
MTA_134,Sutter Av,L,2.131692573402418,6.0932642487046635,13.837651122625216
MTA_135,Livonia Av,L,2.358119658119658,8.121367521367521,13.863247863247864
MTA_136,New Lots Av,L,2.40491539081386,8.093875906526995,13.814665592264303
MTA_137,East 105 St,L,2.167035888347364,6.976960567124501,13.857332742578643
MTA_138,Canarsie-Rockaway Pkwy,L,2.4355648535564853,8.351882845188285,13.891213389121338
MTA_14,23 St,"R,W",3.350220264317181,60.67290748898679,13.788546255506608
MTA_141,Park Pl,S,1.8891848694725626,5.924880127863612,14.058604155567394
MTA_143,Inwood-207 St,A,3.0398104265402845,19.782938388625592,13.876777251184834
MTA_144,Dyckman St,A,2.775169535732916,17.521648408972354,13.857068335941575
MTA_145,190 St,A,2.4869762174405436,12.946206115515288,14.002265005662514
MTA_146,181 St,A,2.9136799596163554,22.845027763755677,13.958606764260475
MTA_147,175 St,A,3.0730174081237913,27.156189555125724,13.841392649903288
MTA_149,163 St-Amsterdam Av,C,2.587540716612378,11.828175895765472,13.824104234527688
MTA_150,155 St,C,2.2624113475177303,8.212765957446809,13.943262411347519
MTA_151,145 St,"A,C,B,D",3.7349439775910365,54.36274509803921,13.781512605042018
MTA_152,135 St,"C,B",2.436048965808358,11.348248205994091,13.90122414520895
MTA_153,125 St,"A,C,B,D",3.8607768992781026,63.96012375386731,13.76280508765899
MTA_154,116 St,"C,B",2.804091266719119,18.196302124311565,13.844217151848937
MTA_155,Cathedral Pkwy (110 St),110 St,2.8368151359873868,21.658651951123375,13.882538431217974
MTA_156,103 St,"C,B",2.597666378565255,14.561797752808989,13.99827139152982
MTA_157,96 St,"C,B",2.8830360846121943,22.615927001244298,14.034010783907092
MTA_158,86 St,"C,B",2.918228958915038,29.402871958516155,13.975269246110889
MTA_159,81 St-Museum of Natural History,"C,B",3.047044632086852,60.0864495375955,13.946119823080016
MTA_16,8 St-NYU,"R,W",3.3044743543106585,59.654419789014185,13.792651873408513
MTA_160,72 St,"C,B",2.9568627450980394,38.01481481481481,14.049673202614379
MTA_162,50 St,"C,E",3.475240470252939,62.50979693623085,13.75561097256858
MTA_164,34 St-Penn Station,"A,C,E",4.049552649690296,177.5271851342051,13.750860289057123
MTA_165,23 St,"C,E",3.317602996254682,44.505992509363296,13.78876404494382
MTA_167,W 4 St-Wash Sq,"A,C,E,B,D,F,M",3.9524815205913413,139.46427314325942,13.728968673002464
MTA_168,Spring St,"C,E",2.903168228469433,34.433734939759034,13.888442659526996
MTA_169,Canal St,"A,C,E",3.267523364485981,44.23442367601246,13.797507788161994
MTA_17,Prince St,"R,W",3.2016359918200408,67.34069529652352,13.812678936605318
MTA_173,High St,"A,C",2.943544655252198,39.10180472003702,14.017584451642758
MTA_175,Hoyt-Schermerhorn Sts,"A,C,G",3.2204130262112787,40.529388403494835,13.823669579030977
MTA_176,Lafayette Av,C,2.6608406158967957,20.055763628797337,13.814398668331252
MTA_177,Clinton-Washington Avs,C,2.6426040744021257,22.360496014171833,13.937998228520815
MTA_179,Nostrand Av,"A,C",3.5504055619930477,48.01892622634222,13.767477790652762
MTA_180,Kingston-Throop Avs,C,2.7479131886477464,19.691986644407347,13.826377295492488
MTA_181,Utica Av,"A,C",3.50462249614792,36.265408320493066,13.784283513097073
MTA_182,Ralph Av,C,2.6588785046728973,14.116397621070519,13.83177570093458
MTA_183,Rockaway Av,C,2.701282581712867,13.904840711625983,13.846917666528755
MTA_185,Liberty Av,C,2.0035762181493073,5.4009834599910596,13.927581582476531
MTA_186,Van Siclen Av,C,2.1610095735422106,6.630548302872063,13.862489120974761
MTA_187,Shepherd Av,C,2.1526016615653694,6.708788806296458,13.874945343244425
MTA_188,Euclid Av,"A,C",3.3643497757847536,26.4652466367713,13.77578475336323
MTA_189,Grant Av,A,2.7592835299257317,13.574486675404106,13.84185233726518
MTA_190,80 St,A,2.4830239927569036,10.905839746491624,13.923042100497963
MTA_191,88 St,A,2.1453546453546455,7.139360639360639,13.902097902097902
MTA_192,Rockaway Blvd,A,3.055533199195171,18.24466800804829,13.780281690140844
MTA_193,104 St,A,1.845854201446856,4.727323316638842,13.927657206455203
MTA_194,111 St,A,1.9931794333683106,5.699895068205667,13.943336831059812
MTA_195,Ozone Park-Lefferts Blvd,A,2.8704094554664414,13.762346981848882,13.799915576192486
MTA_196,Aqueduct Racetrack,A,1.9596685082872929,5.382872928176796,13.577900552486188
MTA_197,Aqueduct-N Conduit Av,A,1.392939370683039,2.496546431312356,13.866462010744437
MTA_198,Howard Beach-JFK Airport,A,2.444142921754862,10.541836273179557,13.711442786069652
MTA_199,Broad Channel,"A,S",1.1906906906906907,1.7492492492492493,14.054054054054054
MTA_2,Astoria Blvd,"N,W",3.0433917197452227,28.451433121019107,13.840764331210192
MTA_20,City Hall,"R,W",2.393313667649951,13.809734513274336,13.942969518190758
MTA_200,Beach 90 St,"A,S",1.4789594491201223,4.332823259372609,13.872991583779648
MTA_201,Beach 98 St,"A,S",1.3555327868852458,3.074795081967213,13.959016393442623
MTA_202,Beach 105 St,"A,S",1.413509060955519,4.28500823723229,13.805601317957166
MTA_203,Rockaway Park-Beach 116 St,"A,S",1.5179083094555874,3.3732091690544412,13.839541547277937
MTA_204,Beach 67 St,A,2.0392541707556426,7.01864573110893,13.801766437684003
MTA_205,Beach 60 St,A,1.8243761996161227,4.40067178502879,13.792706333973129
MTA_206,Beach 44 St,A,1.3764387271496277,2.4096140825998646,13.88490182802979
MTA_207,Beach 36 St,A,1.4323640960809103,2.588495575221239,13.84070796460177
MTA_208,Beach 25 St,A,1.6664890783164625,3.750665956313266,13.909429941395844
MTA_209,Far Rockaway-Mott Av,A,2.4276094276094278,8.872474747474747,13.777777777777779
MTA_210,Norwood-205 St,D,2.8483177054605626,14.227799227799228,13.817981246552675
MTA_211,Bedford Park Blvd,"B,D",2.7041884816753927,12.329842931937172,13.834554973821989
MTA_212,Kingsbridge Rd,"B,D",2.6233766233766236,11.75,13.878787878787879
MTA_213,Fordham Rd,"B,D",3.018274111675127,19.131472081218273,13.790862944162436
